"Nombre científico","Nombre común","Cantidad","Conjunto de datos","Sitio de monitoreo","Localidad","Longitud","Latitud","Fecha","Hora"
"Ateles geoffroyi","","1","Biomonitoreo participativo - App","TC-01 Tres Colinas","TC-01 Tres Colinas","-83.080353","9.120107","2020-09-13",""
"Ateles geoffroyi","","10","Biomonitoreo participativo - App","AB-01 Altamira de Biolley-01","Santa María de Pittier","-82.96457","9.015437","2020-10-11",""
"Ateles geoffroyi","","1","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-10-23",""
"Ateles geoffroyi","","2","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","2","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","2","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","2","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","2","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","2","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","3","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2020-11-28",""
"Ateles geoffroyi","","1","Biomonitoreo participativo - App","JD-02 El Jardín","El Jardín","-83.693029","9.502405","2020-11-30",""
"Ateles geoffroyi","","10","Biomonitoreo participativo - App","SJ-02 San Jerónimo","San jerónimo","-83.483074","9.358661","2020-12-07",""
"Ateles geoffroyi","","8","Biomonitoreo participativo - App","SJ-02 San Jerónimo","San Jerónimo","-83.506799","9.363038","2020-12-25",""
"Ateles geoffroyi","","10","Biomonitoreo participativo - App","TC-02 Tres Colinas","Tres Colinas","-83.070854","9.120094","2020-12-29",""
"Ateles geoffroyi","","20","Biomonitoreo participativo - App","SJ-02 San Jerónimo","SJ-02 San Jerónimo","-83.502996","9.364325","2021-01-17",""